datetime,open,high,low,close,trades
2025-01-02 04:00:00,588.12,589.11,588.12,588.88,73
2025-01-02 04:01:00,589.06,589.26,588.98,589.16,17
2025-01-02 04:02:00,589.26,589.26,588.73,589.07,36
2025-01-02 04:03:00,588.93,588.98,588.81,588.9,20
2025-01-02 04:04:00,588.77,589.09,588.77,589.07,26
2025-01-02 04:05:00,589.0,589.22,588.91,589.19,24
2025-01-02 04:06:00,589.31,589.47,589.21,589.37,27
2025-01-02 04:07:00,589.21,589.47,589.19,589.43,20
2025-01-02 04:08:00,589.4,589.56,589.4,589.52,26
2025-01-02 04:09:00,589.58,589.59,589.55,589.55,9
2025-01-02 04:10:00,589.53,589.72,589.5,589.64,24
2025-01-02 04:11:00,589.63,589.72,589.61,589.68,13
2025-01-02 04:12:00,589.68,589.81,589.64,589.72,20
2025-01-02 04:13:00,589.63,589.78,589.53,589.64,35
2025-01-02 04:14:00,589.6,589.74,589.6,589.65,13
2025-01-02 04:15:00,589.74,589.81,589.51,589.81,32
2025-01-02 04:16:00,589.82,589.89,589.8,589.8,5
2025-01-02 04:17:00,589.8,589.81,589.76,589.78,25
2025-01-02 04:18:00,589.86,589.86,589.73,589.77,20
2025-01-02 04:19:00,589.8,589.8,589.76,589.76,10
2025-01-02 04:20:00,589.78,589.78,589.69,589.69,11
2025-01-02 04:21:00,589.73,589.73,589.52,589.52,19
2025-01-02 04:22:00,589.56,589.64,589.55,589.64,8
2025-01-02 04:23:00,589.66,589.76,589.6,589.73,16
2025-01-02 04:24:00,589.71,589.76,589.67,589.72,10
2025-01-02 04:25:00,589.71,589.77,589.61,589.62,14
2025-01-02 04:26:00,589.63,589.7,589.54,589.55,18
2025-01-02 04:27:00,589.51,589.55,589.41,589.41,19
2025-01-02 04:28:00,589.57,589.57,589.53,589.53,4
2025-01-02 04:29:00,589.54,589.69,589.54,589.69,7
2025-01-02 04:30:00,589.61,589.74,589.61,589.65,16
2025-01-02 04:31:00,589.61,589.62,589.52,589.55,12
2025-01-02 04:32:00,589.61,589.74,589.6,589.68,20
2025-01-02 04:33:00,589.73,589.8,589.67,589.71,11
2025-01-02 04:34:00,589.62,589.67,589.56,589.6,13
2025-01-02 04:35:00,589.68,589.68,589.61,589.61,5
2025-01-02 04:36:00,589.65,589.65,589.43,589.43,18
2025-01-02 04:37:00,589.4,589.4,589.31,589.33,30
2025-01-02 04:38:00,589.35,589.42,589.09,589.1,26
2025-01-02 04:39:00,589.06,589.06,588.84,589.04,21
2025-01-02 04:40:00,589.06,589.15,589.04,589.1,23
2025-01-02 04:41:00,589.2,589.2,589.14,589.14,6
2025-01-02 04:42:00,589.28,589.35,589.28,589.33,5
2025-01-02 04:43:00,589.47,589.56,589.38,589.56,10
2025-01-02 04:44:00,589.63,589.63,589.53,589.54,5
2025-01-02 04:45:00,589.53,589.62,589.53,589.56,8
2025-01-02 04:46:00,589.55,589.56,589.55,589.56,4
2025-01-02 04:47:00,589.52,589.64,589.5,589.64,19
2025-01-02 04:48:00,589.67,589.7,589.59,589.59,6
2025-01-02 04:49:00,589.53,589.63,589.53,589.63,4
2025-01-02 04:50:00,589.66,589.7,589.63,589.63,6
2025-01-02 04:51:00,589.63,589.64,589.57,589.61,7
2025-01-02 04:52:00,589.67,589.7,589.62,589.7,3
2025-01-02 04:53:00,589.62,589.62,589.48,589.55,13
2025-01-02 04:54:00,589.48,589.51,589.4,589.51,9
2025-01-02 04:55:00,589.41,589.48,589.39,589.48,5
2025-01-02 04:56:00,589.48,589.55,589.41,589.55,3
2025-01-02 04:57:00,589.49,589.49,589.49,589.49,1
2025-01-02 04:58:00,589.53,589.62,589.53,589.54,3
2025-01-02 04:59:00,589.62,589.88,589.62,589.88,22
2025-01-02 05:00:00,589.88,590.01,589.85,589.96,37
2025-01-02 05:01:00,589.95,589.95,589.68,589.8,13
2025-01-02 05:02:00,589.87,589.87,589.79,589.79,3
2025-01-02 05:03:00,589.87,589.91,589.74,589.74,11
2025-01-02 05:04:00,589.85,589.87,589.67,589.77,8
2025-01-02 05:05:00,589.73,589.73,589.63,589.67,11
2025-01-02 05:06:00,589.6,589.6,589.32,589.32,21
2025-01-02 05:07:00,589.38,589.49,589.32,589.43,11
2025-01-02 05:08:00,589.43,589.54,589.43,589.45,7
2025-01-02 05:09:00,589.55,589.7,589.55,589.7,6
2025-01-02 05:10:00,589.66,589.66,589.51,589.54,9
2025-01-02 05:11:00,589.55,589.61,589.48,589.58,15
2025-01-02 05:12:00,589.52,589.52,589.33,589.41,16
2025-01-02 05:13:00,589.34,589.34,589.09,589.14,28
2025-01-02 05:14:00,589.17,589.22,589.14,589.18,7
2025-01-02 05:15:00,589.26,589.4,589.26,589.35,5
2025-01-02 05:16:00,589.29,589.36,589.25,589.34,6
2025-01-02 05:17:00,589.34,589.4,589.2,589.4,9
2025-01-02 05:18:00,589.48,589.62,589.44,589.59,12
2025-01-02 05:19:00,589.63,589.66,589.59,589.6,4
2025-01-02 05:20:00,589.67,589.67,589.65,589.65,2
2025-01-02 05:21:00,589.51,589.58,589.48,589.58,5
2025-01-02 05:22:00,589.6,589.77,589.6,589.77,3
2025-01-02 05:23:00,589.54,589.67,589.54,589.57,7
2025-01-02 05:24:00,589.49,589.58,589.49,589.58,8
2025-01-02 05:25:00,589.62,589.62,589.49,589.49,9
2025-01-02 05:26:00,589.51,589.7,589.51,589.68,11
2025-01-02 05:27:00,589.63,589.63,589.56,589.56,3
2025-01-02 05:28:00,589.67,589.67,589.54,589.54,5
2025-01-02 05:29:00,589.65,589.65,589.57,589.57,3
2025-01-02 05:30:00,589.62,589.71,589.52,589.61,9
2025-01-02 05:31:00,589.62,589.73,589.62,589.69,3
2025-01-02 05:32:00,589.61,589.61,589.57,589.57,4
2025-01-02 05:33:00,589.65,589.69,589.62,589.64,6
2025-01-02 05:34:00,589.69,589.83,589.67,589.7,17
2025-01-02 05:35:00,589.8,589.84,589.8,589.81,8
2025-01-02 05:36:00,589.89,589.93,589.89,589.93,5
2025-01-02 05:37:00,589.82,589.98,589.82,589.89,4
2025-01-02 05:38:00,589.88,589.92,589.71,589.84,18
2025-01-02 05:39:00,589.86,589.93,589.86,589.93,5
2025-01-02 05:40:00,589.88,589.94,589.88,589.94,4
2025-01-02 05:41:00,589.84,589.89,589.81,589.89,11
2025-01-02 05:42:00,589.82,589.9,589.82,589.86,4
2025-01-02 05:43:00,589.84,589.91,589.83,589.83,5
2025-01-02 05:44:00,589.84,589.94,589.84,589.94,8
2025-01-02 05:45:00,589.94,589.95,589.87,589.95,38
2025-01-02 05:46:00,589.95,589.99,589.92,589.94,9
2025-01-02 05:47:00,589.99,589.99,589.93,589.93,11
2025-01-02 05:48:00,589.93,589.98,589.92,589.95,14
2025-01-02 05:49:00,589.97,589.97,589.85,589.94,53
2025-01-02 05:50:00,589.93,589.93,589.75,589.8,12
2025-01-02 05:51:00,589.76,589.76,589.55,589.58,20
2025-01-02 05:52:00,589.52,589.52,589.24,589.24,32
2025-01-02 05:53:00,589.3,589.45,589.3,589.41,47
2025-01-02 05:54:00,589.47,589.52,589.38,589.49,32
2025-01-02 05:55:00,589.47,589.73,589.47,589.73,15
2025-01-02 05:56:00,589.75,589.75,589.63,589.65,7
2025-01-02 05:57:00,589.7,589.72,589.65,589.71,7
2025-01-02 05:58:00,589.78,589.95,589.78,589.85,9
2025-01-02 05:59:00,589.85,589.94,589.83,589.88,38
2025-01-02 06:00:00,589.88,589.94,589.71,589.77,12
2025-01-02 06:01:00,589.77,589.77,589.48,589.5,21
2025-01-02 06:02:00,589.4,589.48,589.37,589.48,4
2025-01-02 06:03:00,589.51,589.63,589.48,589.6,64
2025-01-02 06:04:00,589.65,589.65,589.61,589.61,3
2025-01-02 06:05:00,589.6,589.65,589.56,589.65,7
2025-01-02 06:06:00,589.66,589.75,589.66,589.75,3
2025-01-02 06:07:00,589.66,589.7,589.5,589.7,80
2025-01-02 06:08:00,589.6,589.7,589.6,589.69,11
2025-01-02 06:09:00,589.65,589.65,589.62,589.62,5
2025-01-02 06:10:00,589.71,589.81,589.65,589.81,12
2025-01-02 06:11:00,589.77,589.8,589.77,589.8,2
2025-01-02 06:12:00,589.78,589.95,589.78,589.9,16
2025-01-02 06:13:00,589.82,589.98,589.82,589.97,13
2025-01-02 06:14:00,589.98,590.0,589.9,589.95,12
2025-01-02 06:15:00,589.82,589.84,589.77,589.82,9
2025-01-02 06:16:00,589.95,590.0,589.95,589.99,5
2025-01-02 06:17:00,589.96,589.99,589.89,589.95,8
2025-01-02 06:18:00,590.04,590.04,589.95,590.0,6
2025-01-02 06:19:00,590.02,590.07,589.96,590.03,15
2025-01-02 06:20:00,590.03,590.03,589.96,590.01,10
2025-01-02 06:21:00,589.98,589.98,589.9,589.9,5
2025-01-02 06:22:00,589.97,590.03,589.97,589.97,4
2025-01-02 06:23:00,590.02,590.02,590.02,590.02,2
2025-01-02 06:24:00,589.95,589.95,589.9,589.95,41
2025-01-02 06:25:00,589.9,589.9,589.83,589.88,10
2025-01-02 06:26:00,589.88,589.88,589.81,589.88,7
2025-01-02 06:27:00,589.9,589.94,589.88,589.94,3
2025-01-02 06:28:00,589.9,589.94,589.88,589.94,0
2025-01-02 06:29:00,589.89,589.94,589.89,589.94,5
2025-01-02 06:30:00,589.89,589.92,589.69,589.69,13
2025-01-02 06:31:00,589.73,589.73,589.71,589.71,2
2025-01-02 06:32:00,589.7,589.79,589.69,589.71,13
2025-01-02 06:33:00,589.7,589.7,589.58,589.58,17
2025-01-02 06:34:00,589.57,589.67,589.56,589.67,44
2025-01-02 06:35:00,589.6,589.87,589.6,589.85,59
2025-01-02 06:36:00,589.83,589.85,589.77,589.82,10
2025-01-02 06:37:00,589.88,589.88,589.83,589.88,5
2025-01-02 06:38:00,589.88,590.02,589.88,590.02,4
2025-01-02 06:39:00,589.89,590.02,589.89,589.98,12
2025-01-02 06:40:00,590.01,590.09,589.96,590.01,13
2025-01-02 06:41:00,590.0,590.06,590.0,590.06,3
2025-01-02 06:42:00,590.0,590.36,590.0,590.36,59
2025-01-02 06:43:00,590.3,590.43,590.29,590.3,18
2025-01-02 06:44:00,590.23,590.47,590.21,590.4,22
2025-01-02 06:45:00,590.45,590.5,590.44,590.5,13
2025-01-02 06:46:00,590.5,590.73,590.5,590.72,21
2025-01-02 06:47:00,590.77,590.92,590.76,590.83,37
2025-01-02 06:48:00,590.92,591.0,590.81,590.98,39
2025-01-02 06:49:00,591.0,591.0,590.91,590.93,16
2025-01-02 06:50:00,590.93,590.93,590.71,590.87,17
2025-01-02 06:51:00,590.89,590.9,590.82,590.82,19
2025-01-02 06:52:00,590.89,590.91,590.71,590.78,13
2025-01-02 06:53:00,590.78,590.89,590.78,590.89,14
2025-01-02 06:54:00,590.84,590.91,590.84,590.9,15
2025-01-02 06:55:00,590.89,590.94,590.88,590.9,12
2025-01-02 06:56:00,590.92,591.27,590.91,591.26,47
2025-01-02 06:57:00,591.23,591.49,591.23,591.33,51
2025-01-02 06:58:00,591.29,591.55,591.29,591.42,56
2025-01-02 06:59:00,591.44,591.75,591.42,591.61,97
2025-01-02 07:00:00,591.59,591.64,591.42,591.44,96
2025-01-02 07:01:00,591.45,591.87,591.45,591.75,171
2025-01-02 07:02:00,591.79,591.84,591.66,591.75,89
2025-01-02 07:03:00,591.77,591.77,590.94,591.52,766
2025-01-02 07:04:00,591.51,591.62,591.4,591.62,52
2025-01-02 07:05:00,591.6,591.65,591.58,591.65,78
2025-01-02 07:06:00,591.68,591.78,591.67,591.76,34
2025-01-02 07:07:00,591.76,591.77,591.58,591.64,38
2025-01-02 07:08:00,591.62,591.68,591.4,591.63,54
2025-01-02 07:09:00,591.55,591.97,591.55,591.94,78
2025-01-02 07:10:00,591.93,592.0,591.83,591.86,73
2025-01-02 07:11:00,591.86,591.88,591.76,591.84,31
2025-01-02 07:12:00,591.85,591.95,591.84,591.91,30
2025-01-02 07:13:00,591.95,591.99,591.82,591.99,40
2025-01-02 07:14:00,591.97,591.98,591.88,591.93,21
2025-01-02 07:15:00,591.96,592.01,591.85,591.85,56
2025-01-02 07:16:00,591.91,592.06,591.86,592.06,52
2025-01-02 07:17:00,592.05,592.05,591.92,591.92,18
2025-01-02 07:18:00,591.93,591.97,591.87,591.95,41
2025-01-02 07:19:00,591.93,591.94,591.81,591.9,70
2025-01-02 07:20:00,591.94,592.07,591.94,592.05,38
2025-01-02 07:21:00,592.05,592.05,591.98,591.99,15
2025-01-02 07:22:00,591.97,592.02,591.93,592.02,43
2025-01-02 07:23:00,591.99,592.0,591.82,591.82,33
2025-01-02 07:24:00,591.89,591.99,591.82,591.99,27
2025-01-02 07:25:00,591.99,592.02,591.951,591.96,19
2025-01-02 07:26:00,592.0,592.0,591.92,591.96,13
2025-01-02 07:27:00,591.89,591.929,591.84,591.86,10
2025-01-02 07:28:00,591.87,591.98,591.87,591.97,31
2025-01-02 07:29:00,591.97,592.02,591.95,591.96,29
2025-01-02 07:30:00,591.96,592.05,591.89,591.91,41
2025-01-02 07:31:00,591.9,591.95,591.77,591.84,54
2025-01-02 07:32:00,591.81,591.89,591.69,591.82,68
2025-01-02 07:33:00,591.85,591.89,591.79,591.83,39
2025-01-02 07:34:00,591.85,591.85,591.63,591.63,48
2025-01-02 07:35:00,591.68,591.78,591.68,591.72,19
2025-01-02 07:36:00,591.76,591.82,591.68,591.82,24
2025-01-02 07:37:00,591.78,591.879,591.67,591.7,32
2025-01-02 07:38:00,591.75,591.809,591.71,591.809,17
2025-01-02 07:39:00,591.8,591.8,591.71,591.8,22
2025-01-02 07:40:00,591.82,591.87,591.76,591.83,20
2025-01-02 07:41:00,591.87,591.87,591.38,591.43,55
2025-01-02 07:42:00,591.42,591.44,591.21,591.21,42
2025-01-02 07:43:00,591.23,591.23,591.05,591.1,134
2025-01-02 07:44:00,591.1,591.22,591.07,591.15,48
2025-01-02 07:45:00,591.2,591.22,591.13,591.16,45
2025-01-02 07:46:00,591.1,591.18,590.95,591.05,74
2025-01-02 07:47:00,591.0,591.06,590.8,591.02,165
2025-01-02 07:48:00,591.03,591.11,590.9,590.98,82
2025-01-02 07:49:00,591.01,591.04,590.8,590.91,109
2025-01-02 07:50:00,590.92,590.92,590.85,590.85,62
2025-01-02 07:51:00,590.84,590.9,590.33,590.38,199
2025-01-02 07:52:00,590.38,590.5,590.25,590.48,115
2025-01-02 07:53:00,590.46,590.63,590.46,590.63,112
2025-01-02 07:54:00,590.62,590.82,590.62,590.73,175
2025-01-02 07:55:00,590.7,590.76,590.56,590.69,77
2025-01-02 07:56:00,590.75,590.95,590.69,590.88,150
2025-01-02 07:57:00,590.88,590.99,590.83,590.95,54
2025-01-02 07:58:00,590.99,591.04,590.91,590.96,57
2025-01-02 07:59:00,590.98,591.08,590.88,591.02,39
2025-01-02 08:00:00,591.0,592.05,586.08,591.02,1187
2025-01-02 08:01:00,590.96,592.07,588.17,590.89,509
2025-01-02 08:02:00,586.08,590.88,586.08,590.76,135
2025-01-02 08:03:00,590.81,591.06,590.81,591.02,85
2025-01-02 08:04:00,590.96,591.09,590.96,591.04,87
2025-01-02 08:05:00,591.03,591.21,586.0,590.94,135
2025-01-02 08:06:00,590.97,591.07,590.93,590.94,60
2025-01-02 08:07:00,590.96,591.05,590.86,590.86,108
2025-01-02 08:08:00,590.86,590.87,590.76,590.77,81
2025-01-02 08:09:00,590.81,590.96,590.79,590.9,93
2025-01-02 08:10:00,590.86,590.93,590.78,590.78,84
2025-01-02 08:11:00,590.86,590.93,590.76,590.79,81
